Alcaligenes hydrogenophilus
Bordetella bronchiseptica
Bordetella parapertussis
Bordetella pertussis
Bordetella avium
Acidiphilium angustum
Acidiphilium cryptum
Acidocella facilis
Acidiphilium rubrum
Acidiphilium sp.
Ochrobactrum anthropi
Polaribacter irgensii
Beijerinckia indica
Chromobacterium violaceum
Iodobacter fluviatilis
Eikenella corrodens
Eikenella sp.
Zymomonas mobilis
Citrobacter koseri
Citrobacter freundii
Enterobacter aerogenes
Pantoea agglomerans
Enterobacter cloacae
Erwinia amylovora
Pantoea ananatis
Pectobacterium carotovorum
Erwinia chrysanthemi
Erwinia sp.
Escherichia coli
Shimwellia blattae
Escherichia fergusonii
Escherichia hermannii
Escherichia vulneris
Hafnia alvei
Klebsiella oxytoca
Klebsiella pneumoniae
Raoultella planticola
Klebsiella sp.
Raoultella terrigena
Kluyvera cryocrescens
Morganella morganii
Proteus mirabilis
Proteus vulgaris
Providencia rettgeri
Providencia stuartii
Providencia sp.
Salmonella sp.
Serratia liquefaciens
Serratia marcescens
Serratia sp.
Serratia sp. E-15
Serratia odorifera
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Shigella sp.
Xenorhabdus nematophila
Yersinia enterocolitica
Yersinia intermedia
Yersinia pestis
Yersinia pseudotuberculosis
Yersinia bercovieri
Edwardsiella tarda
Arsenophonus nasoniae
Aeromonas hydrophila
Aeromonas salmonicida
Aeromonas sobria
Aeromonas sp.
Aeromonas caviae
Aeromonas eucrenophila
Aeromonas jandaei
Aeromonas media
Aeromonas schubertii
Aeromonas veronii
Aeromonas allosaccharophila
Photobacterium phosphoreum
Photobacterium sp.
Photobacterium angustum
Vibrio alginolyticus
Vibrio cholerae
Aliivibrio fischeri
Vibrio harveyi
Vibrio parahaemolyticus
Vibrio proteolyticus
Vibrio vulnificus
Grimontia hollisae
Vibrio mimicus
Vibrio cincinnatiensis
Vibrio fluvialis
Vibrio sp.
Vibrio adaptatus
Vibrio campbellii
Vibrio cyclosites
Vibrio diazotrophicus
Vibrio gazogenes
Aliivibrio logei
Vibrio mediterranei
Vibrio natriegens
Vibrio nereis
Plesiomonas shigelloides
Cryptosaras couesi symbiont
Melanocetus johnsoni symbiont
Aggregatibacter actinomycetemcomitans
Actinobacillus pleuropneumoniae
Actinobacillus suis
Actinobacillus capsulatus
Actinobacillus equuli
Actinobacillus hominis
Actinobacillus lignieresii
Actinobacillus salpingitidis
Actinobacillus seminis
Actinobacillus ureae
Haemophilus haemolyticus
Haemophilus influenzae
Avibacterium paragallinarum
Haemophilus parainfluenzae
Haemophilus ducreyi
Histophilus somni
Aggregatibacter aphrophilus
Haemophilus haemoglobinophilus
Haemophilus paracuniculus
